station_id,depth_band,start_year,end_year,months,DO_mg_L_sen_slope_per_year,DO_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2024,178,-0.001935589374723641,ns
4ACOA000.60,>1 m,1994,2022,163,-0.008075545425089101,ns
4AROA195.60,0-1 m,2021,2024,26,-0.0015773552290405887,ns
4AROA195.60,>1 m,2021,2022,13,0.708608058608059,ns
4AROA192.94,0-1 m,1994,2024,186,-0.012085154927351596,ns
4AROA192.94,>1 m,1994,2022,145,0.03190592185689617,sig
4AGIL002.39,0-1 m,1994,2024,178,0.0036147452928821456,ns
4AGIL002.39,>1 m,1994,2022,153,0.02838619896477182,ns
4AROA167.34,0-1 m,1994,2024,178,0.006429192511074181,ns
4AROA167.34,>1 m,1994,2022,164,0.06529967310998523,sig
4ABWR017.42,0-1 m,1994,2024,175,0.004507080754416458,ns
4ABWR017.42,>1 m,1994,2022,135,0.15136474996441374,sig
4AROA183.64,0-1 m,1994,2024,186,0.029370123607748676,sig
4AROA183.64,>1 m,1994,2022,172,0.08249373179999565,sig
4AROA180.21,0-1 m,1994,2024,186,0.040329953002286825,sig
4AROA180.21,>1 m,1994,2022,171,0.04858274884607792,sig
4ABWR045.80,0-1 m,1994,2024,199,0.02997078140998425,sig
4ABWR045.80,>1 m,2000,2000,1,,ns
4ABWR010.55,0-1 m,1994,2024,177,0.016891807379612215,sig
4ABWR010.55,>1 m,1994,2022,159,-0.03938520218649145,sig
4AGIL008.30,0-1 m,1994,2024,68,0.13497509962317797,sig
4ACCK001.80,0-1 m,1994,2024,176,-0.002523561524672484,ns
4ACCK001.80,>1 m,1994,2022,163,0.029740177344848195,ns
4ABWR002.50,0-1 m,1994,2024,179,0.0,ns
4ABWR002.50,>1 m,1994,2022,161,0.02415532274025985,ns
4AROA199.20,0-1 m,2005,2024,89,-0.05603315934909426,sig
4AROA175.63,0-1 m,1994,2024,182,0.03119887946528591,sig
4AROA175.63,>1 m,1994,2022,169,0.05951723739909078,sig
4AWTH000.40,0-1 m,1994,2024,178,-0.00038046695793487957,ns
4AWTH000.40,>1 m,1994,2022,164,0.02136143387671827,ns
4ABSA000.62,0-1 m,1994,2024,178,0.0013634277647871012,ns
4ABSA000.62,>1 m,1994,2022,163,-0.007043423399894505,ns
4AROA163.76,0-1 m,1994,2024,178,-0.004450452379942695,ns
4AROA163.76,>1 m,1994,2022,165,0.04535845079805578,sig
4AROA185.54,0-1 m,2021,2024,26,0.169606086202751,ns
4AROA185.54,>1 m,2021,2022,13,0.1918544749229944,ns
4AROA158.22,0-1 m,1994,2024,178,-0.012397606616307224,ns
4AROA158.22,>1 m,1994,2022,164,0.014846043665294417,ns
