station_id,depth_band,start_year,end_year,months,HARDNESS_TOTAL_00900_mg_L_sen_slope_per_year,HARDNESS_TOTAL_00900_mg_L_kendall_sig
4ACOA000.60,0-1 m,1997,2003,31,-0.327191235059763,ns
4AROA192.94,0-1 m,1997,2003,34,1.4734717416378316,ns
4AGIL002.39,0-1 m,1997,2003,30,0.4014202068608302,ns
4AROA167.34,0-1 m,1997,2003,34,-3.002624587413054,sig
4ABWR017.42,0-1 m,1994,2003,29,-0.008132261859069912,ns
4AROA183.64,0-1 m,1997,2003,34,-0.24522977694167397,ns
4AROA180.21,0-1 m,1997,2003,34,-3.664993153811045,sig
4ABWR045.80,0-1 m,1994,2018,74,-0.01712409101571626,sig
4ABWR010.55,0-1 m,1997,2003,30,0.6838505164669358,ns
4AGIL008.30,0-1 m,2001,2003,12,0.2597820953922932,ns
4ACCK001.80,0-1 m,1997,2003,33,0.21870266267209343,ns
4ABWR002.50,0-1 m,1997,2003,31,0.3934668806861912,ns
4AROA199.20,0-1 m,2015,2024,43,1.8251103964189221,sig
4AROA175.63,0-1 m,1997,2003,34,-3.059880239520955,sig
4AWTH000.40,0-1 m,1997,2003,33,-0.785020227013862,sig
4ABSA000.62,0-1 m,1997,2003,31,-0.7534403669724778,ns
4AROA163.76,0-1 m,1997,2003,34,-0.3201754385964901,ns
4AROA158.22,0-1 m,1997,2003,33,-1.5368300614430628,sig
