station_id,depth_band,start_year,end_year,months,NOX_mg_L_sen_slope_per_year,NOX_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2024,177,-0.002724983811486832,sig
4ACOA000.60,>1 m,1994,2016,126,0.003015223221129904,sig
4AROA195.60,0-1 m,2021,2024,26,0.1685738595653213,sig
4AROA192.94,0-1 m,1994,2024,186,0.014476946031967718,sig
4AROA192.94,>1 m,1994,1995,3,-0.7102722835119296,ns
4AGIL002.39,0-1 m,1994,2024,178,-0.0016752131412258865,sig
4AGIL002.39,>1 m,1994,2016,114,0.0007577791008987915,ns
4AROA167.34,0-1 m,1994,2024,181,-0.0008651760319050934,ns
4AROA167.34,>1 m,1994,2016,132,0.004753822539714191,sig
4ABWR017.42,0-1 m,1994,2024,175,-0.0018848244004220538,sig
4ABWR017.42,>1 m,1994,2003,12,0.047615834457939696,sig
4AROA183.64,0-1 m,1994,2024,186,0.0039589874383422026,sig
4AROA183.64,>1 m,1994,2016,133,0.018228531478394885,sig
4AROA180.21,0-1 m,1994,2024,186,0.002685402499686309,sig
4AROA180.21,>1 m,1994,2016,132,0.014125988503069925,sig
4ABWR045.80,0-1 m,1994,2007,80,0.02041735096862437,sig
4ABWR010.55,0-1 m,1994,2024,177,-0.0025091950445609774,sig
4ABWR010.55,>1 m,1994,2016,124,-0.002486016351362089,ns
4AGIL008.30,0-1 m,1994,2024,48,0.004724527049452368,sig
4ACCK001.80,0-1 m,1994,2024,180,-0.001170059304375701,sig
4ACCK001.80,>1 m,1994,2016,130,0.004362492352670233,sig
4ABWR002.50,0-1 m,1994,2024,170,-0.0015578992948162812,sig
4ABWR002.50,>1 m,1994,2016,125,0.005484182063973947,sig
4AROA199.20,0-1 m,2005,2022,16,-0.01974497681607419,sig
4AROA175.63,0-1 m,1994,2024,178,0.003453048841852431,sig
4AROA175.63,>1 m,1994,2016,131,0.01128347822441361,sig
4AWTH000.40,0-1 m,1994,2024,182,-0.0006624920646267991,ns
4AWTH000.40,>1 m,1994,2016,130,0.004412393864344475,sig
4ABSA000.62,0-1 m,1994,2024,177,-0.0015273195562326243,sig
4ABSA000.62,>1 m,1994,2016,125,0.0009437081842224038,ns
4AROA163.76,0-1 m,1994,2024,174,7.530295820404239e-05,ns
4AROA163.76,>1 m,1994,2016,132,0.005689296519171581,sig
4AROA185.54,0-1 m,2021,2024,26,-0.03951937077644894,ns
4AROA158.22,0-1 m,1994,2024,182,-0.0008214007062564387,ns
4AROA158.22,>1 m,1994,2016,131,0.004484271894151173,sig
