station_id,depth_band,start_year,end_year,months,PHOSPHORUS_TOTAL_00665_mg_L_sen_slope_per_year,PHOSPHORUS_TOTAL_00665_mg_L_kendall_sig
4ACOA000.60,0-1 m,1994,2024,177,0.0,sig
4ACOA000.60,>1 m,1994,2016,125,0.0,sig
4AROA195.60,0-1 m,2021,2024,26,-0.000529472378398928,ns
4AROA192.94,0-1 m,1994,2024,186,-0.0007434272104126209,sig
4AROA192.94,>1 m,1994,1995,3,-0.04348394880177484,sig
4AGIL002.39,0-1 m,1994,2024,177,0.0,sig
4AGIL002.39,>1 m,1994,2016,113,-1.3565240030784673e-05,ns
4AROA167.34,0-1 m,1994,2024,181,-0.00023949816931536326,sig
4AROA167.34,>1 m,1994,2016,131,0.0,sig
4ABWR017.42,0-1 m,1994,2024,174,-8.191110961501746e-06,ns
4ABWR017.42,>1 m,1994,2003,12,0.0032838506522717054,sig
4AROA183.64,0-1 m,1994,2024,186,0.0,sig
4AROA183.64,>1 m,1994,2016,133,-0.0005995650169137759,sig
4AROA180.21,0-1 m,1994,2024,185,-0.00013573626968585092,sig
4AROA180.21,>1 m,1994,2016,131,0.0010819745684435317,sig
4ABWR045.80,0-1 m,1994,2024,176,-0.001493495550137808,sig
4ABWR010.55,0-1 m,1994,2024,177,0.0,sig
4ABWR010.55,>1 m,1994,2016,123,0.0012093977655482006,sig
4AGIL008.30,0-1 m,1994,2024,67,-0.0014538936466839273,sig
4ACCK001.80,0-1 m,1994,2024,180,-3.8334864973860884e-05,sig
4ACCK001.80,>1 m,1994,2016,129,0.0,ns
4ABWR002.50,0-1 m,1994,2024,178,0.0,sig
4ABWR002.50,>1 m,1994,2016,124,0.0,ns
4AROA199.20,0-1 m,2005,2024,87,0.00032584533803106105,sig
4AROA175.63,0-1 m,1994,2024,186,0.0,sig
4AROA175.63,>1 m,1994,2016,131,0.0006614985999420184,sig
4AWTH000.40,0-1 m,1994,2024,181,0.0,sig
4AWTH000.40,>1 m,1994,2016,130,0.0,ns
4ABSA000.62,0-1 m,1994,2024,176,0.0,sig
4ABSA000.62,>1 m,1994,2016,124,0.0,sig
4AROA163.76,0-1 m,1994,2024,182,-0.00011627376046331109,sig
4AROA163.76,>1 m,1994,2016,132,0.0,ns
4AROA185.54,0-1 m,2021,2024,26,0.0,ns
4AROA158.22,0-1 m,1994,2024,182,0.0,sig
4AROA158.22,>1 m,1994,2016,131,0.0,sig
